ExtFP27	ExtFP56	ExtFP76	ExtFP108	ExtFP128	ExtFP131	ExtFP134	ExtFP167	ExtFP171	ExtFP194	ExtFP217	ExtFP243	ExtFP281	ExtFP284	ExtFP298	ExtFP302	ExtFP329	ExtFP335	ExtFP351	ExtFP352	ExtFP353	ExtFP386	ExtFP393	ExtFP406	ExtFP409	ExtFP433	ExtFP439	ExtFP442	ExtFP458	ExtFP466	ExtFP468	ExtFP472	ExtFP474	ExtFP486	ExtFP511	ExtFP520	ExtFP551	ExtFP554	ExtFP562	ExtFP564	ExtFP581	ExtFP594	ExtFP598	ExtFP607	ExtFP611	ExtFP657	ExtFP658	ExtFP660	ExtFP681	ExtFP689	ExtFP698	ExtFP723	ExtFP738	ExtFP765	ExtFP776	ExtFP783	ExtFP788	ExtFP789	ExtFP807	ExtFP822	ExtFP828	ExtFP833	ExtFP862	ExtFP864	ExtFP882	ExtFP903	ExtFP914	ExtFP915	ExtFP929	ExtFP944	ExtFP990	ExtFP1011	ExtFP1014	ExtFP1016	EStateFP16	EStateFP18	EStateFP35	MACCSFP16	MACCSFP66	MACCSFP81	MACCSFP89	MACCSFP109	MACCSFP122	MACCSFP130	MACCSFP131	MACCSFP136	MACCSFP146	MACCSFP160	PubchemFP2	PubchemFP12	PubchemFP14	PubchemFP15	PubchemFP19	PubchemFP20	PubchemFP186	PubchemFP341	PubchemFP343	PubchemFP389	PubchemFP393	PubchemFP395	PubchemFP440	PubchemFP443	PubchemFP546	PubchemFP576	PubchemFP698	PubchemFP704	PubchemFP794	PubchemFP818	SubFP12	SubFP85	SubFP88	SubFP96	SubFP295	SubFP296	SubFP301	KRFP92	KRFP298	KRFP466	KRFP504	KRFP647	KRFP1642	KRFP2262	KRFP2595	KRFP2667	KRFP2855	KRFP3058	KRFP3455	KRFP3682	KRFP3782	KRFP3959	KRFP4237	AD2D13	AD2D14	AD2D102	AD2D103	AD2D135	AD2D156	AD2D161	AD2D170	AD2D184	AD2D248	AD2D326	AD2D336	AD2D394	AD2D414	AD2D547	AD2D549	AD2D631	AD2D636	AD2D714	HenryConstant	CASNumber	Training-Test
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.70	000108-78-1	Training
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-13.40	000077-92-9	Training
1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-13.30	001918-02-1	Training
1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	-13.10	131860-33-8	Training
0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	-13.10	002872-52-8	Training
1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-13.10	001214-39-7	Training
0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-13.00	101200-48-0	Training
1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	-13.00	069377-81-7	Training
1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	-12.80	076674-21-0	Training
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	-12.50	051707-55-2	Training
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-12.40	000110-15-6	Training
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12.40	000111-16-0	Training
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-12.40	003813-05-6	Training
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-12.30	030560-19-1	Training
1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	-12.20	000561-27-3	Training
0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	-12.20	006923-22-4	Training
0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-12.20	000102-71-6	Training
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	-12.10	000123-77-3	Training
0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	-12.00	041394-05-2	Training
1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	-11.90	000097-23-4	Training
0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	-11.90	055219-65-3	Training
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11.80	000057-13-6	Training
0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	-11.70	071422-67-8	Training
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	-11.70	001071-83-6	Training
1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-11.60	021725-46-2	Training
0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	-11.60	077732-09-3	Training
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	-11.60	034681-23-7	Training
